,Repository,Descriptions,Number of Stars,Number of Forks
0,DS4SD / docling,Get your documents ready for gen AI,"10,979",533
1,abi / screenshot-to-code,Drop in a screenshot and convert it to clean code (HTML/Tailwind/React/Vue),"61,478","7,515"
2,opendatalab / MinerU,A high-quality tool for convert PDF to Markdown and JSON.ä¸€ç«™å¼å¼€æºé«˜è´¨é‡æ•°æ®æå–å·¥å…·ï¼Œå°†PDFè½¬æ¢æˆMarkdownå’ŒJSONæ ¼å¼ã€‚,"18,436","1,316"
3,freqtrade / freqtrade,"Free, open source crypto trading bot","31,270","6,370"
4,All-Hands-AI / OpenHands,"ğŸ™Œ OpenHands: Code Less, Make More","37,379","4,233"
5,khoj-ai / khoj,"Your AI second brain. Self-hostable. Get answers from the web or your docs. Build custom agents, schedule automations, do deep research. Turn any online or local LLM into your personal, autonomous AI (e.g gpt, claude, gemini, llama, qwen, mistral).","16,156",794
6,microsoft / autogen,A programming framework for agentic AI ğŸ¤–,"34,805","5,039"
7,dgtlmoon / changedetection.io,"The best and simplest free open source web page change detection, website watcher, restock monitor and notification service. Restock Monitor, change detection. Designed for simplicity - Simply monitor which websites had a text change for free. Free Open source web page change detection, Website defacement monitoring, Price change notification","19,683","1,066"
8,mingrammer / diagrams,ğŸ¨ Diagram as Code for prototyping cloud system architectures,"39,680","2,544"
9,Guovin / IPTV,ğŸ“ºIPTVç”µè§†ç›´æ’­æºæ›´æ–°å·¥å…·ğŸš€ï¼šåŒ…å«ğŸ’°å¤®è§†ã€ğŸ“¡å«è§†ã€â˜˜ï¸å¹¿ä¸œåŠå„çœä»½åœ°æ–¹å°ã€ğŸŒŠæ¸¯Â·æ¾³Â·å°ã€ğŸ¬ç”µå½±ã€ğŸ¥å’ªå’•ã€ğŸ€ä½“è‚²ã€ğŸªåŠ¨ç”»ã€ğŸ®æ¸¸æˆã€ğŸµéŸ³ä¹ã€ğŸ›ç»å…¸å‰§åœºï¼›æ”¯æŒè‡ªå®šä¹‰å¢åŠ é¢‘é“ï¼›æ”¯æŒç»„æ’­æºã€é…’åº—æºã€è®¢é˜…æºã€å…³é”®å­—æœç´¢ï¼›æ¯å¤©è‡ªåŠ¨æ›´æ–°ä¸¤æ¬¡ï¼Œç»“æœå¯ç”¨äºTVBoxç­‰æ’­æ”¾è½¯ä»¶ï¼›æ”¯æŒå·¥ä½œæµã€Docker(amd64/arm64)ã€å‘½ä»¤è¡Œã€GUIè¿è¡Œæ–¹å¼ | IPTV live TV source update tool,"6,134","1,392"
10,Skyvern-AI / skyvern,Automate browser-based workflows with LLMs and Computer Vision,"10,701",738
11,exo-explore / exo,Run your own AI cluster at home with everyday devices ğŸ“±ğŸ’» ğŸ–¥ï¸âŒš,"16,002",846
12,xtekky / gpt4free,The official gpt4free repository | various collection of powerful language models,"62,210","13,385"
13,PacktPublishing / LLM-Engineers-Handbook,The LLM's practical guide: From the fundamentals to deploying advanced LLM and RAG apps to AWS using LLMOps best practices,"1,761",279
14,paperless-ngx / paperless-ngx,"A community-supported supercharged version of paperless: scan, index and archive all your physical documents","22,243","1,223"
15,geekan / MetaGPT,"ğŸŒŸ The Multi-Agent Framework: First AI Software Company, Towards Natural Language Programming","45,467","5,411"
16,jackfrued / Python-100-Days,Python - 100å¤©ä»æ–°æ‰‹åˆ°å¤§å¸ˆ,"158,059","52,505"
17,letta-ai / letta,Letta (formerly MemGPT) is a framework for creating LLM services with memory.,"12,965","1,419"
18,getomni-ai / zerox,PDF to Markdown with vision models,"6,688",364
19,Huanshere / VideoLingo,"Netflix-level subtitle cutting, translation, alignment, and even dubbing - one-click fully automated AI video subtitle team | Netflixçº§å­—å¹•åˆ‡å‰²ã€ç¿»è¯‘ã€å¯¹é½ã€ç”šè‡³åŠ ä¸Šé…éŸ³ï¼Œä¸€é”®å…¨è‡ªåŠ¨è§†é¢‘æ¬è¿AIå­—å¹•ç»„","7,170",690
20,crewAIInc / crewAI,"Framework for orchestrating role-playing, autonomous AI agents. By fostering collaborative intelligence, CrewAI empowers agents to work together seamlessly, tackling complex tasks.","21,595","2,995"
